x-axis,1
second,Volt
-58.200000E-03,
-58.196900E-03,
-58.193800E-03,
-58.190700E-03,
-58.187600E-03,
-58.184500E-03,
-58.181400E-03,
-58.178300E-03,
-58.175200E-03,
-58.172100E-03,
-58.169000E-03,
-58.165900E-03,
-58.162800E-03,
-58.159700E-03,
-58.156600E-03,
-58.153500E-03,
-58.150400E-03,
-58.147300E-03,
-58.144200E-03,
-58.141100E-03,
-58.138000E-03,
-58.134900E-03,
-58.131800E-03,
-58.128700E-03,
-58.125600E-03,
-58.122500E-03,
-58.119400E-03,
-58.116300E-03,
-58.113200E-03,
-58.110100E-03,
-58.107000E-03,
-58.103900E-03,
-58.100800E-03,
-58.097700E-03,
-58.094600E-03,
-58.091500E-03,
-58.088400E-03,
-58.085300E-03,
-58.082200E-03,
-58.079100E-03,
-58.076000E-03,
-58.072900E-03,
-58.069800E-03,
-58.066700E-03,
-58.063600E-03,
-58.060500E-03,
-58.057400E-03,
-58.054300E-03,
-58.051200E-03,
-58.048100E-03,
-58.045000E-03,
-58.041900E-03,
-58.038800E-03,
-58.035700E-03,
-58.032600E-03,
-58.029500E-03,
-58.026400E-03,
-58.023300E-03,
-58.020200E-03,
-58.017100E-03,
-58.014000E-03,
-58.010900E-03,
-58.007800E-03,
-58.004700E-03,
-58.001600E-03,
-57.998500E-03,
-57.995400E-03,
-57.992300E-03,
-57.989200E-03,
-57.986100E-03,
-57.983000E-03,
-57.979900E-03,
-57.976800E-03,
-57.973700E-03,
-57.970600E-03,
-57.967500E-03,
-57.964400E-03,
-57.961300E-03,
-57.958200E-03,
-57.955100E-03,
-57.952000E-03,
-57.948899E-03,
-57.945799E-03,
-57.942699E-03,
-57.939599E-03,
-57.936499E-03,
-57.933399E-03,
-57.930299E-03,
-57.927199E-03,
-57.924099E-03,
-57.920999E-03,
-57.917899E-03,
-57.914799E-03,
-57.911699E-03,
-57.908599E-03,
-57.905499E-03,
-57.902399E-03,
-57.899299E-03,
-57.896199E-03,
-57.893099E-03,
-57.889999E-03,
-57.886899E-03,
-57.883799E-03,
-57.880699E-03,
-57.877599E-03,
-57.874499E-03,
-57.871399E-03,
-57.868299E-03,
-57.865199E-03,
-57.862099E-03,
-57.858999E-03,
-57.855899E-03,
-57.852799E-03,
-57.849699E-03,
-57.846599E-03,
-57.843499E-03,
-57.840399E-03,
-57.837299E-03,
-57.834199E-03,
-57.831099E-03,
-57.827999E-03,
-57.824899E-03,
-57.821799E-03,
-57.818699E-03,
-57.815599E-03,
-57.812499E-03,
-57.809399E-03,
-57.806299E-03,
-57.803199E-03,
-57.800099E-03,
-57.796999E-03,
-57.793899E-03,
-57.790799E-03,
-57.787699E-03,
-57.784599E-03,
-57.781499E-03,
-57.778399E-03,
-57.775299E-03,
-57.772199E-03,
-57.769099E-03,
-57.765999E-03,
-57.762899E-03,
-57.759799E-03,
-57.756699E-03,
-57.753599E-03,
-57.750499E-03,
-57.747399E-03,
-57.744299E-03,
-57.741199E-03,
-57.738099E-03,
-57.734999E-03,
-57.731899E-03,
-57.728799E-03,
-57.725699E-03,
-57.722599E-03,
-57.719499E-03,
-57.716399E-03,
-57.713299E-03,
-57.710199E-03,
-57.707099E-03,
-57.703999E-03,
-57.700899E-03,
-57.697799E-03,
-57.694699E-03,
-57.691599E-03,
-57.688499E-03,
-57.685399E-03,
-57.682299E-03,
-57.679199E-03,
-57.676099E-03,
-57.672999E-03,
-57.669899E-03,
-57.666799E-03,
-57.663699E-03,
-57.660599E-03,
-57.657499E-03,
-57.654399E-03,
-57.651299E-03,
-57.648199E-03,
-57.645099E-03,
-57.641999E-03,
-57.638899E-03,
-57.635799E-03,
-57.632699E-03,
-57.629599E-03,
-57.626499E-03,
-57.623399E-03,
-57.620299E-03,
-57.617199E-03,
-57.614099E-03,
-57.610999E-03,
-57.607899E-03,
-57.604799E-03,
-57.601699E-03,
-57.598599E-03,
-57.595499E-03,
-57.592399E-03,
-57.589299E-03,
-57.586199E-03,
-57.583099E-03,
-57.579999E-03,
-57.576899E-03,
-57.573799E-03,
-57.570699E-03,
-57.567599E-03,
-57.564499E-03,
-57.561399E-03,
-57.558299E-03,
-57.555199E-03,
-57.552099E-03,
-57.548999E-03,
-57.545899E-03,
-57.542799E-03,
-57.539699E-03,
-57.536599E-03,
-57.533499E-03,
-57.530399E-03,
-57.527299E-03,
-57.524199E-03,
-57.521099E-03,
-57.517999E-03,
-57.514899E-03,
-57.511799E-03,
-57.508699E-03,
-57.505599E-03,
-57.502499E-03,
-57.499399E-03,
-57.496299E-03,
-57.493199E-03,
-57.490099E-03,
-57.486999E-03,
-57.483899E-03,
-57.480799E-03,
-57.477699E-03,
-57.474599E-03,
-57.471499E-03,
-57.468399E-03,
-57.465299E-03,
-57.462199E-03,
-57.459099E-03,
-57.455999E-03,
-57.452899E-03,
-57.449798E-03,
-57.446698E-03,
-57.443598E-03,
-57.440498E-03,
-57.437398E-03,
-57.434298E-03,
-57.431198E-03,
-57.428098E-03,
-57.424998E-03,
-57.421898E-03,
-57.418798E-03,
-57.415698E-03,
-57.412598E-03,
-57.409498E-03,
-57.406398E-03,
-57.403298E-03,
-57.400198E-03,
-57.397098E-03,
-57.393998E-03,
-57.390898E-03,
-57.387798E-03,
-57.384698E-03,
-57.381598E-03,
-57.378498E-03,
-57.375398E-03,
-57.372298E-03,
-57.369198E-03,
-57.366098E-03,
-57.362998E-03,
-57.359898E-03,
-57.356798E-03,
-57.353698E-03,
-57.350598E-03,
-57.347498E-03,
-57.344398E-03,
-57.341298E-03,
-57.338198E-03,
-57.335098E-03,
-57.331998E-03,
-57.328898E-03,
-57.325798E-03,
-57.322698E-03,
-57.319598E-03,
-57.316498E-03,
-57.313398E-03,
-57.310298E-03,
-57.307198E-03,
-57.304098E-03,
-57.300998E-03,
-57.297898E-03,
-57.294798E-03,
-57.291698E-03,
-57.288598E-03,
-57.285498E-03,
-57.282398E-03,
-57.279298E-03,
-57.276198E-03,
-57.273098E-03,
-57.269998E-03,
-57.266898E-03,
-57.263798E-03,
-57.260698E-03,
-57.257598E-03,
-57.254498E-03,
-57.251398E-03,
-57.248298E-03,
-57.245198E-03,
-57.242098E-03,
-57.238998E-03,
-57.235898E-03,
-57.232798E-03,
-57.229698E-03,
-57.226598E-03,
-57.223498E-03,
-57.220398E-03,
-57.217298E-03,
-57.214198E-03,
-57.211098E-03,
-57.207998E-03,
-57.204898E-03,
-57.201798E-03,
-57.198698E-03,
-57.195598E-03,
