second,Volt
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,0.00E+00
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
